Image C=1,I=483
The max ELI is 17758.812500
     47  2.230  45.120  0.3274  0.085
     48  3.450  56.483  0.2349  0.185
     49  0.611   3.561  0.0000  0.056
     51  1.477   9.000  0.0000  0.219
     52  1.000   8.000  0.0000  0.160
     53  2.521   0.000  0.0000  0.000
     54  1.949   7.036  0.0875  0.046
     55  1.839   3.848  0.0000  0.104
     57  0.743   6.976  0.2298  0.011
     59  2.063   6.500  0.0000  0.000
     60  0.659   6.479  0.0207  0.105
     61  0.329   7.878  0.5954  0.003
     62  1.645   2.967  0.0000  0.076
     63  1.036   0.000  0.0000  0.000
     65  0.889  22.456  0.3016  0.029
Image C=17,I=22
The max ELI is 26800.953125
   Line   grad    leng    kurv    eli
      1  2.768 222.934  0.2108  0.323
      2  0.757   9.795  0.2398  0.007
      3  0.969  18.911  0.2172  0.016
      4  0.848  94.091  0.2965  0.054
      5  1.343 170.784  0.2056  0.177
      6  0.791  35.853  0.2970  0.020
      8  0.927  27.322  0.3070  0.016
      9  3.807  16.568  0.5325  0.011
     10  2.314  23.151  0.5910  0.011
     11  0.735  80.228  0.2391  0.053
     12  1.892  22.605  0.5265  0.011
     14  2.401  49.917  0.3696  0.038
     15  2.952 166.424  0.2402  0.219
     16  0.838  19.560  0.2913  0.011
     17  0.988   3.717  0.0000  0.023
     18  1.241  90.168  0.1998  0.092
     19  0.701 171.268  0.1531  0.172
     20  2.369  32.178  0.5989  0.015
     21  0.785  52.134  0.3380  0.025
     22  1.615 130.009  0.2131  0.142
     23  0.746  50.774  0.5182  0.016
     24  2.723 563.663  0.1708  1.000
     25  1.321  71.498  0.2458  0.061
     26  1.792  28.509  0.4410  0.016
     27  1.015   8.199  0.0290  0.052
     28  0.615   2.522  0.0000  0.013
     29  0.688  25.619  0.2274  0.017
     30  0.961  40.824  0.3424  0.021
     31  1.000  16.296  0.2230  0.013
     32  2.102  14.546  0.4934  0.008
     35  0.223   6.661  0.1147  0.005
     36  2.459  22.143  0.4587  0.014
     37  1.050  17.031  0.1989  0.016
     38  1.986  18.890  0.2197  0.022
     39  1.570  41.897  0.2517  0.038
     42  0.430   6.151  0.0540  0.014
     43  1.105  29.445  0.3299  0.017
     44  2.531  25.447  0.5989  0.012
     45  0.622   3.640  0.0000  0.018
     47  2.410  20.229  0.6061  0.010
     48  0.626  49.417  0.3713  0.019
     49  0.496  58.394  0.1478  0.051
     50  0.775   9.508  0.2151  0.007
     51  0.552   0.000  0.0000  0.000
     52  0.712  33.206  0.3458  0.015
     53  0.000   3.543  0.0000  0.000
     54  0.618   7.741  0.4099  0.003
     55  2.711  27.189  0.7347  0.011
     56  1.431   0.000  0.0000  0.000
     58  0.418   6.098  0.3970  0.002
     59  3.032  14.942  0.2685  0.018
     60  1.820  10.033  0.0377  0.066
     61  2.119  24.779  0.5112  0.013
     62  1.230  63.820  0.1696  0.077
     64  1.428  10.024  0.2433  0.009
     67  1.082  58.078  0.1620  0.068
     68  2.548   3.400  0.0000  0.034
     69  0.856   6.998  0.0686  0.017
     70  2.497  10.428  0.8006  0.004
     71  2.002  15.665  0.2488  0.016
     72  1.805  85.955  0.1536  0.138
     73  0.705  24.967  0.3895  0.010
     74  3.309  20.469  0.5237  0.013
     75  0.934  46.248  0.3538  0.023
     76  1.770   4.264  0.3874  0.003
     78  2.973   6.724  0.0430  0.049
     79  0.306   8.681  0.1962  0.004
     81  0.548  50.237  0.4425  0.015
     82  1.455  51.321  0.1827  0.062
     83  1.583   8.218  0.1535  0.012
     84  0.875  44.505  0.2656  0.029
     85  0.743  41.434  0.4029  0.016
     86  0.705  24.362  0.3257  0.012
     87  0.667  53.667  0.1459  0.055
     88  0.669  37.422  0.3426  0.016
     89  0.939  80.065  0.2081  0.068
     90  0.523  23.263  0.1400  0.022
     91  0.979  61.799  0.1891  0.059
     92  0.720  36.516  0.1772  0.032
     93  0.613   0.000  0.0000  0.000
     95  3.795  13.799  0.5318  0.009
     96  0.383   0.000  0.0000  0.000
     97  0.858   8.497  0.0512  0.028
     98  0.581   0.000  0.0000  0.000
     99  1.832  16.421  0.2229  0.018
    100  1.792  13.309  0.1258  0.026
Image C=47,I=3
The max ELI is 7662.809570
   Line   grad    leng    kurv    eli
      1  1.270 147.157  0.3355  0.436
      2  1.264  54.673  0.2003  0.271
      3  0.536  10.952  0.2244  0.032
      4  1.030  16.964  0.3019  0.050
      5  0.975  16.197  0.3912  0.036
      6  1.217  26.910  0.2842  0.092
      7  0.909  31.979  0.3913  0.069
      8  1.111  95.330  0.3016  0.294
      9  1.002  15.758  0.3004  0.046
     10  0.998  42.025  0.1263  0.293
     11  1.095  52.256  0.1525  0.316
     12  1.153  41.358  0.3656  0.107
     13  1.502  19.911  0.5088  0.042
     14  0.952  18.610  0.3606  0.044
     15  1.049  34.348  0.4592  0.068
     16  1.023  27.972  0.2310  0.108
     17  0.956  15.302  0.4209  0.031
     18  0.973  81.954  0.1772  0.402
     19  1.185  18.013  0.2263  0.076
     20  0.000   0.000  0.0000  0.000
     21  1.039 130.965  0.2849  0.413
     22  0.667  10.438  0.0505  0.149
     23  1.253  55.391  0.3539  0.154
     24  0.810   4.123  0.0000  0.133
     25  0.852   7.428  0.0436  0.139
     26  0.951  19.190  0.3232  0.051
     27  1.522   7.076  0.2118  0.036
     28  1.811   6.766  0.1160  0.069
     29  1.332  21.956  0.4017  0.056
     30  1.028   6.696  0.0103  0.244
     31  1.611  10.864  0.2753  0.044
     33  0.846   6.002  0.0000  0.198
     34  0.895  10.419  0.2802  0.031
     35  1.073  11.073  0.2617  0.039
     36  0.834   9.278  0.0570  0.131
     37  0.502   2.953  0.0000  0.075
     38  1.353  42.153  0.3255  0.133
     39  1.250  19.081  0.2953  0.064
     40  0.748  10.191  0.2430  0.032
     41  0.796  29.305  0.1669  0.138
     42  1.037  15.724  0.2563  0.055
     43  1.027  26.977  0.3067  0.079
     44  0.896 109.550  0.2880  0.318
     45  0.724   6.679  0.2556  0.020
     46  0.920   4.031  0.0000  0.139
     48  0.689   9.845  0.0904  0.080
     50  0.607  19.153  0.2666  0.049
     51  0.708  61.595  0.3747  0.122
     52  0.000   7.846  0.1010  0.000
     53  1.483   2.967  0.0000  0.130
     54  1.565  18.982  0.6085  0.034
     55  0.827   6.884  0.0515  0.107
     56  1.015  91.859  0.3242  0.252
     57  1.706  15.599  0.1092  0.165
     58  1.980  20.578  0.4936  0.052
     59  0.899  21.443  0.3284  0.055
     60  1.171  21.403  0.3105  0.066
     62  0.443  18.156  0.4855  0.022
     63  0.484   3.202  0.0000  0.080
     64  0.969  15.170  0.1324  0.099
     65  1.107  22.407  0.3839  0.054
     66  1.610  11.103  0.0829  0.150
     67  1.303  18.537  0.4932  0.038
     68  0.698   7.457  0.3066  0.018
     70  2.113   5.334  0.4266  0.016
     71  0.632   7.367  0.0000  0.210
     73  1.928   6.801  0.0516  0.161
     74  0.752   9.925  0.1942  0.039
     75  0.726  13.404  0.4129  0.024
     76  1.212  64.605  0.1689  0.371
     77  0.582   5.592  0.0605  0.062
     78  0.794  75.860  0.4227  0.141
     79  1.165  14.778  0.1728  0.081
     81  0.478   3.005  0.0000  0.075
     82  1.243  40.302  0.2814  0.141
     83  0.781   9.811  0.1026  0.075
     84  1.412   7.201  0.0000  0.307
     85  2.034  10.293  0.1840  0.070
     86  1.162  25.207  0.3685  0.065
     87  1.319   8.278  0.1734  0.048
     88  1.055  13.543  0.1926  0.064
     90  0.939   7.272  0.0699  0.089
     92  1.326  65.602  0.2924  0.228
     95  1.253  22.910  0.3610  0.063
     96  0.593   4.904  0.1905  0.017
     97  0.674   5.389  0.1464  0.027
     98  1.310  66.181  0.2371  0.282
     99  0.873  53.002  0.3222  0.135
    100  1.181  51.722  0.4915  0.101
    101  1.124   7.613  0.1593  0.045
    102  1.221   9.284  0.5443  0.017
    103  0.836   9.734  0.2100  0.037
    104  1.624   9.951  0.1828  0.061
    105  0.865  13.173  0.4639  0.023
    106  1.212   4.121  0.1851  0.022
    107  0.424   6.473  0.0962  0.039
    108  0.838  44.750  0.3864  0.094
    109  0.892  14.885  0.1914  0.065
    110  1.495   5.443  0.2825  0.021
    111  1.225   2.749  0.0000  0.109
    112  1.451  37.628  0.3777  0.106
    113  1.142   6.247  0.1524  0.039
    114  1.168  22.097  0.1930  0.109
    115  0.417   5.336  0.0000  0.124
    116  1.039   0.000  0.0000  0.000
    117  0.885  15.652  0.3735  0.035
    118  1.298  50.963  0.3507  0.146
    119  0.916  14.284  0.2530  0.048
    120  0.558  43.382  0.3139  0.091
    121  0.759  15.752  0.1468  0.082
    123  1.094   6.939  0.0245  0.261
    125  1.078  34.444  0.3907  0.081
    126  0.874  16.631  0.1535  0.089
    127  0.895  10.844  0.2376  0.038
    128  0.680   7.919  0.0875  0.066
    129  0.732   7.936  0.0807  0.074
    131  1.067   9.354  0.0461  0.185
    132  0.641   8.354  0.0000  0.240
    133  0.627  12.145  0.1884  0.045
    134  1.289  13.230  0.2162  0.061
    135  1.407  10.346  0.7104  0.015
    137  0.949   4.690  0.3366  0.012
    138  1.298  13.056  0.1829  0.072
    139  0.327   4.877  0.0960  0.026
    140  1.418  47.949  0.2676  0.188
    141  0.981  40.702  0.2565  0.139
    142  1.108  17.524  0.2986  0.054
    143  1.454   9.864  0.1802  0.058
