Image C=1,I=483
The max ELI is 6288.003418
    131  1.067   9.354  0.0461  0.459
    132  0.641   8.354  0.0000  0.489
    133  0.627  12.145  0.1884  0.075
    134  1.289  13.230  0.2162  0.141
    135  1.407  10.346  0.7104  0.041
    137  0.949   4.690  0.3366  0.040
    138  1.298  13.056  0.1829  0.166
    139  0.327   4.877  0.0960  0.049
    140  1.418  47.949  0.2676  0.238
    141  0.981  40.702  0.2565  0.158
    142  1.108  17.524  0.2986  0.101
    143  1.454   9.864  0.1802  0.164
    144  1.201   7.861  0.2510  0.087
    145  1.156   7.632  0.1265  0.164
    146  1.089   7.603  0.1010  0.193
    147  0.923  18.753  0.2137  0.121
    148  1.266  59.071  0.3705  0.170
    150  1.178  11.630  0.3834  0.068
    151  0.482   6.782  0.0716  0.114
    152  0.560  13.994  0.1633  0.083
    153  1.218  11.664  0.5161  0.052
    154  1.456   9.101  0.2842  0.100
    155  0.806  15.364  0.5047  0.041
    156  0.779   6.850  0.0000  0.538
    157  1.250  20.389  0.4008  0.091
    158  1.392  40.611  0.3975  0.145
    159  0.934   7.829  0.2127  0.080
    160  0.854   8.685  0.7050  0.023
    161  0.980   7.006  0.0000  0.685
    163  2.169  79.868  0.3697  0.340
    164  1.655  52.452  0.1943  0.400
    165  2.450 134.494  0.2153  0.855
    166  1.026  51.657  0.2962  0.161
    167  0.923   7.984  0.2206  0.077
    168  0.837   5.958  0.1676  0.079
    169  0.710   2.236  0.0000  0.280
    170  0.669   6.768  0.1388  0.081
    171  0.538   6.166  0.2486  0.035
    172  0.548   8.409  0.0796  0.129
    173  1.283  12.245  0.3284  0.089
    174  0.765   6.842  0.1639  0.079
    175  1.421   0.000  0.0000  0.000
    176  1.235  12.585  0.3659  0.078
    178  1.364   0.000  0.0000  0.000
    179  0.667  14.986  0.4309  0.039
    180  0.945  17.866  0.4179  0.062
    181  1.545   5.001  0.3614  0.062
    182  0.881   6.219  0.1896  0.075
    183  0.890   5.284  0.3702  0.036
    184  1.458 173.538  0.2387  0.521
    185  2.421 173.249  0.2377  0.868
    186  0.910  21.772  0.1603  0.172
    188  0.919   5.842  0.0000  0.586
    189  1.879  10.954  0.0566  0.713
    190  1.222  14.292  0.3199  0.094
    191  0.678  18.039  0.3939  0.047
    192  0.547   4.031  0.0000  0.290
    193  0.691   6.639  0.2204  0.052
    195  0.782  10.011  0.1050  0.153
    196  0.816   7.372  0.0474  0.303
    197  0.401  10.449  0.2024  0.041
    198  1.031   3.940  0.0000  0.540
    199  0.000   0.000  0.0000  0.000
    200  0.966  31.200  0.1526  0.229
    202  1.096  42.223  0.3409  0.135
    203  0.696   5.193  0.0000  0.419
    204  1.977   3.283  0.0000  0.946
    205  0.548   6.162  0.0000  0.359
    206  0.531   3.184  0.0000  0.250
    207  1.113   8.505  0.2304  0.091
    209  1.000  15.598  0.1768  0.145
    210  0.824   6.061  0.0000  0.535
    211  0.934  14.499  0.4957  0.046
    213  1.083  47.925  0.3278  0.148
    214  0.925   4.171  0.1858  0.066
    216  0.000   8.189  0.2287  0.000
    217  1.154  15.049  0.1731  0.168
    218  0.861  16.196  0.0503  0.446
    219  0.635   7.645  0.0428  0.266
    220  0.542   5.759  0.0880  0.096
    221  0.734   2.594  0.0000  0.312
    222  1.203   9.908  0.1921  0.128
    223  0.992  23.104  0.3482  0.089
    224  1.553  14.397  0.1333  0.286
    225  0.635   5.500  0.1399  0.069
    226  1.120  21.556  0.2429  0.139
    228  0.613  30.820  0.2981  0.074
    231  1.123  11.072  0.4177  0.058
    232  0.642   3.138  0.0000  0.300
    233  1.110  21.569  0.1634  0.204
    234  1.261   7.115  0.1227  0.178
    235  1.208  13.465  0.2937  0.098
    236  1.139   3.333  0.0000  0.549
    237  0.574   7.440  0.1662  0.061
    238  1.395  14.146  0.3110  0.109
    240  1.539  13.948  0.1669  0.223
    242  0.930   5.712  0.1086  0.133
    243  1.064   4.191  0.3903  0.036
    245  0.858  12.499  0.3716  0.053
    246  0.770  14.550  0.2602  0.073
    247  1.099  10.802  0.2804  0.083
    248  0.216   0.000  0.0000  0.000
    249  0.745  37.706  0.2922  0.101
    250  1.535  26.692  0.1292  0.398
    251  0.786  13.031  0.3862  0.048
    253  0.678  16.984  0.2787  0.065
    254  1.063   7.142  0.0814  0.226
    255  1.593  29.330  0.2902  0.193
    256  1.375   7.142  0.2582  0.092
    258  0.903   4.966  0.0444  0.293
    259  1.285   2.587  0.0000  0.546
    260  1.856  21.656  0.1807  0.310
    261  2.256   0.000  0.0000  0.000
    263  0.809  20.610  0.5948  0.040
    264  1.243  19.908  0.2729  0.132
    265  1.232   8.074  0.1229  0.185
    267  2.639   8.312  0.2132  0.231
    268  0.915   7.908  0.0001  0.680
    269  0.821  10.357  0.0541  0.316
    270  2.365  93.563  0.3353  0.442
    272  0.833   3.333  0.0000  0.401
    273  0.606  11.589  0.4116  0.032
    274  1.774   8.715  0.4848  0.070
    275  3.110   9.930  0.0733  0.866
    276  0.819   7.567  0.0000  0.595
    278  1.238   0.000  0.0000  0.000
    279  1.190   0.000  0.0000  0.000
    280  0.313   2.500  0.0000  0.131
    281  0.946  14.041  0.1030  0.223
    283  2.332  88.004  0.1531  0.926
    284  0.000   6.865  0.0803  0.000
    286  0.533   0.000  0.0000  0.000
    287  1.541  12.406  0.1400  0.251
    288  0.822   0.000  0.0000  0.000
Image C=21,I=18
The max ELI is 8806.031250
   Line   grad    leng    kurv    eli
      1  0.722  10.548  0.6705  0.014
      2  2.922 138.892  0.2793  0.489
      3  1.414  31.900  0.3922  0.081
      4  2.403  23.892  0.1708  0.273
      5  0.768  41.258  0.1521  0.129
      6  2.295  92.991  0.2548  0.344
      7  3.264  74.968  0.2883  0.389
      8  0.908  10.855  0.6451  0.018
      9  1.542  29.101  0.3607  0.091
     10  0.356  26.313  0.1830  0.040
     11  3.265  90.794  0.3214  0.384
     13  2.738  49.041  0.2458  0.309
     14  0.536  81.229  0.2088  0.092
     15  2.965   9.109  0.2202  0.161
     16  0.592  12.800  0.2205  0.038
     17  2.224   9.943  0.4325  0.064
     18  3.951  38.491  0.3050  0.319
     19  1.956  33.940  0.2343  0.193
     21  0.573  85.973  0.2439  0.086
     23  0.998 131.670  0.3411  0.133
     24  1.100  67.570  0.2301  0.156
     25  0.929   9.635  0.2608  0.044
     26  1.591   2.807  0.0000  0.283
     27  1.971  11.816  0.0741  0.363
     29  1.497  24.199  0.2041  0.143
     30  1.173   8.400  0.2892  0.047
     32  3.751   9.626  0.7222  0.064
     33  3.717  11.457  0.7510  0.066
     34  0.306  39.051  0.2526  0.030
     35  0.938  19.176  0.1552  0.105
     36  2.807 104.665  0.2650  0.430
     37  2.619  80.478  0.2282  0.408
     38  0.518  72.896  0.1338  0.131
     39  0.224  55.622  0.2073  0.032
     40  2.910 265.634  0.3221  0.584
     41  0.841   3.260  0.0000  0.161
     43  0.749  11.000  0.3439  0.029
     44  2.511  85.729  0.3699  0.249
     45  0.834   9.058  0.1165  0.085
     46  0.248  10.712  0.2583  0.012
     47  1.141   4.243  0.0000  0.250
     48  2.484  68.073  0.1364  0.596
     49  0.541 113.058  0.2770  0.082
     51  0.627 110.008  0.2177  0.120
     52  0.859   9.635  0.1798  0.059
     54  1.543  39.772  0.2391  0.161
     55  1.182   6.772  0.0927  0.132
     56  0.999   4.687  0.0000  0.230
     57  0.304  21.917  0.1489  0.038
     58  1.423  17.563  0.2273  0.104
     59  0.256   7.006  0.1429  0.019
     60  1.482  17.910  0.2155  0.115
     61  0.910   5.734  0.0000  0.231
     62  1.203 110.297  0.3204  0.156
     63  0.789   0.000  0.0000  0.000
     64  0.248  34.241  0.3049  0.019
     65  0.252   4.272  0.0000  0.055
     66  3.082 123.815  0.2386  0.570
     67  0.689   7.333  0.0446  0.166
     68  0.686   8.541  0.3614  0.022
     69  1.000  10.952  0.2798  0.047
     70  0.980  10.857  0.1851  0.069
     71  0.328   5.379  0.1815  0.017
     72  0.349   2.404  0.0000  0.057
     73  0.521 103.891  0.2523  0.083
     74  1.067 102.271  0.2877  0.149
     75  0.892   5.550  0.3081  0.027
     76  1.060  16.625  0.1807  0.095
     77  0.498   3.600  0.0000  0.100
     78  2.477  18.070  0.2014  0.207
     79  0.837   3.260  0.0000  0.161
     80  0.483  59.105  0.4215  0.035
     81  0.783   8.126  0.4159  0.021
     82  0.501  11.997  0.1299  0.053
     83  0.250   9.965  0.1502  0.021
     84  0.312   2.062  0.0000  0.048
     85  0.243  50.750  0.1843  0.037
     87  1.018   7.348  0.2222  0.049
     89  0.815  47.541  0.4072  0.055
     90  1.094  47.582  0.1897  0.158
     91  2.204   9.514  0.7771  0.035
     92  3.504  50.287  0.4702  0.210
     93  0.737  19.721  0.1373  0.094
     94  0.347  10.344  0.2029  0.022
     95  0.633  23.448  0.2375  0.051
     96  0.274  83.829  0.1946  0.051
     97  1.936  76.927  0.2778  0.242
     98  0.747   9.545  0.9798  0.009
     99  0.489  22.994  0.1349  0.069
    100  0.474   2.648  0.0000  0.082
    101  0.376   9.346  0.2786  0.016
    102  1.026  51.490  0.2691  0.108
    103  0.681  12.539  0.1546  0.062
    105  1.229  17.536  0.1279  0.160
    107  0.237  62.286  0.2128  0.035
    108  2.506   6.500  0.0000  0.678
    109  0.974  45.667  0.3117  0.084
    110  0.725  20.729  0.5061  0.026
    111  0.704  40.060  0.2457  0.072
    112  0.767  58.903  0.2964  0.079
    115  0.561   0.000  0.0000  0.000
    116  0.517   6.045  0.6232  0.008
    118  1.292  13.120  0.2876  0.065
    119  2.020  81.815  0.3445  0.210
    120  3.404  69.014  0.3640  0.308
    122  1.250   0.000  0.0000  0.000
    123  2.953 137.635  0.3053  0.450
    124  2.625   9.182  0.1570  0.201
    125  0.596   6.140  0.1571  0.037
    126  0.683  43.162  0.2481  0.072
    127  1.877  15.103  0.3117  0.093
    129  2.341  12.320  0.4719  0.069
    131  0.531  18.368  0.4922  0.018
    132  3.176 184.402  0.2535  0.675
    133  0.507  23.400  0.3653  0.027
    134  1.566 175.876  0.1953  0.422
    136  1.724  14.331  0.3467  0.075
    137  2.638  10.347  0.0908  0.370
    139  0.802  21.131  0.1912  0.076
    140  0.506  46.210  0.4647  0.029
    141  0.765  33.716  0.3904  0.045
    142  0.432   4.860  0.1269  0.030
    143  1.328   8.123  0.1009  0.149
    144  2.253  11.160  0.1213  0.246
    145  0.673  21.568  0.2836  0.044
    146  1.567  13.394  0.0482  0.472
    148  0.408  21.356  0.2360  0.032
    150  0.452   7.828  0.0514  0.097
    151  2.428 139.192  0.1821  0.624
    152  1.460   4.634  0.3142  0.040
    154  0.919  23.844  0.4623  0.038
    155  1.588   3.905  0.0000  0.333
    157  2.613  12.684  0.4842  0.076
    159  2.477   7.965  0.1929  0.144
    160  0.199   6.748  0.1889  0.011
    161  1.602 335.428  0.2103  0.553
    162  1.627 158.652  0.2364  0.344
    163  0.905  12.382  0.1619  0.078
    164  0.892   4.031  0.0000  0.190
    165  3.035  18.867  0.5574  0.094
    167  2.868  10.132  0.3520  0.103
    168  0.846  23.419  0.1477  0.110
    169  2.167   4.028  0.0000  0.462
    171  0.629  30.898  0.2847  0.049
    172  0.798   7.887  0.5216  0.017
    173  0.636   7.387  0.4317  0.016
    174  0.366   0.000  0.0000  0.000
    175  1.035  31.243  0.5168  0.044
    177  0.575   8.900  0.0664  0.102
    179  1.227  17.810  0.2950  0.070
    180  0.676  22.347  0.2685  0.047
    182  2.840  70.169  0.1869  0.505
    183  0.580  48.402  0.2352  0.068
    184  3.115 144.709  0.1486  1.000
    185  1.683   5.948  0.1543  0.106
    186  0.964   6.053  0.3081  0.031
    187  1.228   2.603  0.0000  0.210
    188  4.168  15.210  0.1609  0.400
    189  0.575  37.326  0.2634  0.053
    190  1.251  43.845  0.2737  0.120
    191  3.521  27.325  0.1850  0.394
    192  0.640   0.000  0.0000  0.000
    193  0.696  11.532  0.3072  0.030
    196  0.639   2.833  0.0000  0.114
    197  1.706   7.537  0.1355  0.137
    198  0.407   5.508  0.2006  0.019
    199  0.826  36.241  0.1848  0.107
    200  2.032   9.798  0.0609  0.414
    202  1.652   4.914  0.1543  0.094
    203  0.595  11.832  0.1176  0.069
    204  0.323  21.905  0.2393  0.025
    205  0.910  45.632  0.1820  0.134
    206  0.335   3.041  0.0000  0.062
    209  1.020  10.517  0.1488  0.088
    211  3.508  26.373  0.2908  0.246
    212  1.465  12.147  0.1201  0.169
    213  1.580   3.453  0.0000  0.312
    214  0.592  19.386  0.2144  0.048
    215  1.441   3.500  0.0000  0.000
    216  1.484  21.844  0.2566  0.107
    217  2.552   0.000  0.0000  0.000
