Image C=1,I=483
The max ELI is 770458.000000
      1  2.987 230.760  0.2444  0.373
      2  0.729  72.194  0.1821  0.051
      3  0.712  43.367  0.1955  0.026
      4  0.466  51.806  0.2029  0.019
      5  0.657 111.474  0.1178  0.171
      6  1.048 120.333  0.0673  0.898
      7  0.452  68.273  0.2321  0.018
      8  0.448   4.123  0.0000  0.139
      9  0.782  12.303  0.0000  0.724
     10  0.834  43.022  0.1001  0.116
     12  1.390  33.630  0.3406  0.013
     13  2.748 266.696  0.2287  0.453
     14  1.346  22.208  0.1650  0.036
     15  1.332 101.137  0.1900  0.121
     16  2.921 245.953  0.2503  0.370
     17  0.666 104.810  0.2178  0.048
     18  0.509  10.500  0.0197  0.000
     19  2.491 315.675  0.2062  0.597
     20  1.203  29.266  0.2915  0.013
     21  2.021   5.824  0.0813  0.057
     22  0.382  15.123  0.0932  0.022
     23  0.837  12.623  0.0762  0.059
     24  2.272   6.227  0.1537  0.019
     25  0.212  48.949  0.1484  0.015
     26  2.557   3.010  0.0000  0.579
     29  3.348  48.249  0.3356  0.046
     30  1.126  51.479  0.2210  0.038
     31  0.764  24.791  0.1528  0.026
     32  0.589  13.824  0.0981  0.027
     33  0.257   0.000  0.0000  0.000
     34  1.134  53.219  0.1890  0.055
     35  0.619   8.490  0.2667  0.002
     37  0.300   6.000  0.0910  0.007
     38  0.206  38.461  0.1601  0.010
     39  3.284  67.231  0.2649  0.102
     40  3.393  71.365  0.1424  0.386
     41  0.353  13.010  0.1814  0.005
     42  0.693  51.007  0.2871  0.014
     43  0.774   5.894  0.1028  0.014
     44  1.962   8.824  0.3755  0.004
     45  0.420  33.136  0.3466  0.004
     46  2.076   3.250  0.0000  0.508
     47  2.230  45.120  0.3274  0.030
     48  3.450  56.483  0.2349  0.114
     49  0.611   3.561  0.0000  0.164
     51  1.477   9.000  0.0000  1.000
     52  1.000   8.000  0.0000  0.602
     53  2.521   0.000  0.0000  0.000
     54  1.949   7.036  0.0875  0.058
     55  1.839   3.848  0.0000  0.532
     57  0.743   6.976  0.2298  0.003
     59  2.063   6.500  0.0000  0.000
     60  0.659   6.479  0.0207  0.321
     61  0.329   7.878  0.5954  0.000
     62  1.645   2.967  0.0000  0.367
     63  1.036   0.000  0.0000  0.000
     65  0.889  22.456  0.3016  0.007
Image C=17,I=22
The max ELI is 1274327.250000
   Line   grad    leng    kurv    eli
      1  2.768 222.934  0.2108  0.264
      2  0.757   9.795  0.2398  0.002
      3  0.969  18.911  0.2172  0.007
      4  0.848  94.091  0.2965  0.017
      5  1.343 170.784  0.2056  0.103
      6  0.791  35.853  0.2970  0.006
      8  0.927  27.322  0.3070  0.005
      9  3.807  16.568  0.5325  0.004
     10  2.314  23.151  0.5910  0.003
     11  0.735  80.228  0.2391  0.020
     12  1.892  22.605  0.5265  0.003
     14  2.401  49.917  0.3696  0.017
     15  2.952 166.424  0.2402  0.162
     16  0.838  19.560  0.2913  0.004
     17  0.988   3.717  0.0000  0.083
     18  1.241  90.168  0.1998  0.053
     19  0.701 171.268  0.1531  0.097
     20  2.369  32.178  0.5989  0.004
     21  0.785  52.134  0.3380  0.007
     22  1.615 130.009  0.2131  0.088
     23  0.746  50.774  0.5182  0.003
     24  2.723 563.663  0.1708  1.000
     25  1.321  71.498  0.2458  0.030
     26  1.792  28.509  0.4410  0.005
     27  1.015   8.199  0.0290  0.188
     28  0.615   2.522  0.0000  0.035
     29  0.688  25.619  0.2274  0.006
     30  0.961  40.824  0.3424  0.006
     31  1.000  16.296  0.2230  0.006
     32  2.102  14.546  0.4934  0.002
     35  0.223   6.661  0.1147  0.002
     36  2.459  22.143  0.4587  0.005
     37  1.050  17.031  0.1989  0.009
     38  1.986  18.890  0.2197  0.015
     39  1.570  41.897  0.2517  0.020
     42  0.430   6.151  0.0540  0.017
     43  1.105  29.445  0.3299  0.006
     44  2.531  25.447  0.5989  0.003
     45  0.622   3.640  0.0000  0.051
     47  2.410  20.229  0.6061  0.003
     48  0.626  49.417  0.3713  0.004
     49  0.496  58.394  0.1478  0.025
     50  0.775   9.508  0.2151  0.003
     51  0.552   0.000  0.0000  0.000
     52  0.712  33.206  0.3458  0.004
     53  0.000   3.543  0.0000  0.000
     54  0.618   7.741  0.4099  0.001
     55  2.711  27.189  0.7347  0.003
     56  1.431   0.000  0.0000  0.000
     58  0.418   6.098  0.3970  0.000
     59  3.032  14.942  0.2685  0.012
     60  1.820  10.033  0.0377  0.243
     61  2.119  24.779  0.5112  0.004
     62  1.230  63.820  0.1696  0.052
     64  1.428  10.024  0.2433  0.005
     67  1.082  58.078  0.1620  0.045
     68  2.548   3.400  0.0000  0.196
     69  0.856   6.998  0.0686  0.024
     70  2.497  10.428  0.8006  0.001
     71  2.002  15.665  0.2488  0.010
     72  1.805  85.955  0.1536  0.125
     73  0.705  24.967  0.3895  0.002
     74  3.309  20.469  0.5237  0.005
     75  0.934  46.248  0.3538  0.007
     76  1.770   4.264  0.3874  0.001
     78  2.973   6.724  0.0430  0.205
     79  0.306   8.681  0.1962  0.001
     81  0.548  50.237  0.4425  0.003
     82  1.455  51.321  0.1827  0.043
     83  1.583   8.218  0.1535  0.010
     84  0.875  44.505  0.2656  0.010
     85  0.743  41.434  0.4029  0.004
     86  0.705  24.362  0.3257  0.003
     87  0.667  53.667  0.1459  0.032
     88  0.669  37.422  0.3426  0.004
     89  0.939  80.065  0.2081  0.033
     90  0.523  23.263  0.1400  0.012
     91  0.979  61.799  0.1891  0.032
     92  0.720  36.516  0.1772  0.016
     93  0.613   0.000  0.0000  0.000
     95  3.795  13.799  0.5318  0.004
     96  0.383   0.000  0.0000  0.000
     97  0.858   8.497  0.0512  0.053
     98  0.581   0.000  0.0000  0.000
     99  1.832  16.421  0.2229  0.012
    100  1.792  13.309  0.1258  0.029
Image C=47,I=3
The max ELI is 770620.000000
   Line   grad    leng    kurv    eli
      1  1.270 147.157  0.3355  0.098
      2  1.264  54.673  0.2003  0.102
      3  0.536  10.952  0.2244  0.007
      4  1.030  16.964  0.3019  0.011
      5  0.975  16.197  0.3912  0.006
      6  1.217  26.910  0.2842  0.024
      7  0.909  31.979  0.3913  0.011
      8  1.111  95.330  0.3016  0.069
      9  1.002  15.758  0.3004  0.010
     10  0.998  42.025  0.1263  0.156
     11  1.095  52.256  0.1525  0.146
     12  1.153  41.358  0.3656  0.021
     13  1.502  19.911  0.5088  0.007
     14  0.952  18.610  0.3606  0.008
     15  1.049  34.348  0.4592  0.010
     16  1.023  27.972  0.2310  0.032
     17  0.956  15.302  0.4209  0.005
     18  0.973  81.954  0.1772  0.150
     19  1.185  18.013  0.2263  0.025
     20  0.000   0.000  0.0000  0.000
     21  1.039 130.965  0.2849  0.099
     22  0.667  10.438  0.0505  0.162
     23  1.253  55.391  0.3539  0.033
     24  0.810   4.123  0.0000  0.329
     25  0.852   7.428  0.0436  0.197
     26  0.951  19.190  0.3232  0.010
     27  1.522   7.076  0.2118  0.014
     28  1.811   6.766  0.1160  0.054
     29  1.332  21.956  0.4017  0.011
     30  1.028   6.696  0.0103  0.677
     31  1.611  10.864  0.2753  0.014
     33  0.846   6.002  0.0000  0.500
     34  0.895  10.419  0.2802  0.007
     35  1.073  11.073  0.2617  0.010
     36  0.834   9.278  0.0570  0.141
     37  0.502   2.953  0.0000  0.146
     38  1.353  42.153  0.3255  0.032
     39  1.250  19.081  0.2953  0.016
     40  0.748  10.191  0.2430  0.008
     41  0.796  29.305  0.1669  0.050
     42  1.037  15.724  0.2563  0.015
     43  1.027  26.977  0.3067  0.017
     44  0.896 109.550  0.2880  0.070
     45  0.724   6.679  0.2556  0.004
     46  0.920   4.031  0.0000  0.365
     48  0.689   9.845  0.0904  0.049
     50  0.607  19.153  0.2666  0.010
     51  0.708  61.595  0.3747  0.018
     52  0.000   7.846  0.1010  0.000
     53  1.483   2.967  0.0000  0.433
     54  1.565  18.982  0.6085  0.005
     55  0.827   6.884  0.0515  0.127
     56  1.015  91.859  0.3242  0.053
     57  1.706  15.599  0.1092  0.132
     58  1.980  20.578  0.4936  0.010
     59  0.899  21.443  0.3284  0.011
     60  1.171  21.403  0.3105  0.015
     62  0.443  18.156  0.4855  0.002
     63  0.484   3.202  0.0000  0.153
     64  0.969  15.170  0.1324  0.050
     65  1.107  22.407  0.3839  0.010
     66  1.610  11.103  0.0829  0.154
     67  1.303  18.537  0.4932  0.006
     68  0.698   7.457  0.3066  0.003
     70  2.113   5.334  0.4266  0.004
     71  0.632   7.367  0.0000  0.458
     73  1.928   6.801  0.0516  0.292
     74  0.752   9.925  0.1942  0.012
     75  0.726  13.404  0.4129  0.003
     76  1.212  64.605  0.1689  0.163
     77  0.582   5.592  0.0605  0.053
     78  0.794  75.860  0.4227  0.020
