Image C=1,I=483
The max ELI is 287859.062500
   Line   grad    leng    kurv    eli
      1  1.610 272.985  0.2173  0.391
      2  1.443  54.143  0.1954  0.088
      3  1.577 409.335  0.1651  1.000
      4  1.598 164.659  0.1711  0.378
      5  2.595 105.657  0.2034  0.247
      6  1.579  69.064  0.4062  0.028
      7  0.624  11.480  0.5251  0.001
      8  0.402   0.000  0.0000  0.000
      9  0.496   3.640  0.0000  0.046
     10  0.527  15.990  0.1104  0.038
     11  1.019   3.202  0.0000  0.070
     13  1.439   0.000  0.0000  0.000
     14  0.627   0.000  0.0000  0.000
     15  0.917  29.859  0.1492  0.059
     16  1.055  31.224  0.1569  0.062
     17  0.471   0.000  0.0000  0.000
     18  1.303   3.289  0.0000  0.087
     20  0.829  61.863  0.2214  0.052
     21  1.434   2.833  0.0000  0.080
     22  0.456   6.811  0.1760  0.006
     23  0.603  15.632  0.1760  0.016
     24  1.788   0.000  0.0000  0.000
     25  1.230  41.939  0.3084  0.024
     27  1.000  11.757  0.4323  0.003
     28  0.378  10.829  0.0468  0.113
     29  1.445   7.159  0.1573  0.018
     30  0.757  71.452  0.1510  0.120
     32  0.500   6.737  0.0543  0.064
     33  0.492   0.000  0.0000  0.000
     35  0.400   0.000  0.0000  0.000
     37  1.448  45.120  0.2065  0.066
     38  0.459   0.000  0.0000  0.000
Image C=65,I=687
The max ELI is 68405.312500
   Line   grad    leng    kurv    eli
      1  0.861 101.758  0.2912  0.302
      2  1.128  54.350  0.2655  0.238
      3  0.921  43.881  0.2322  0.216
      4  1.117 109.781  0.3151  0.339
      5  1.545  45.655  0.3669  0.133
      6  0.475  20.573  0.3275  0.031
     10  1.000  63.712  0.4045  0.110
     11  1.492   9.105  0.2099  0.079
     13  1.000  16.807  0.5361  0.016
     14  0.677  13.608  0.3061  0.031
     15  1.281 139.923  0.2179  1.000
     16  1.052  35.421  0.2444  0.174
     17  1.588  13.888  0.3934  0.036
     18  1.456  31.675  0.6001  0.033
     21  0.889   0.000  0.0000  0.000
     22  0.554  36.274  0.4162  0.038
     23  1.534  34.355  0.5423  0.045
     24  0.828   8.449  0.2520  0.033
     25  0.478   7.915  0.1007  0.127
     26  0.682   9.910  0.7901  0.003
     28  0.735   9.981  0.2160  0.048
     29  0.687  26.052  0.6170  0.015
     30  1.004  83.318  0.3740  0.168
     31  0.551  22.362  0.2884  0.048
     32  1.283  21.215  0.3996  0.045
     33  0.735   9.155  0.1665  0.074
     34  0.855  13.570  0.1138  0.263
     35  1.349  21.149  0.3020  0.082
     36  0.634  29.025  0.2614  0.085
